clienteid,idade,renda_anual,email,Cluster
3,19,31732.0,cliente3@exemplo.com,1
9,27,34348.0,cliente9@exemplo.com,1
20,19,29262.0,cliente20@exemplo.com,1
21,35,40286.0,cliente21@exemplo.com,1
22,23,28845.0,cliente22@exemplo.com,1
25,25,35074.0,cliente25@exemplo.com,1
27,26,39860.0,cliente27@exemplo.com,1
32,31,42086.0,cliente32@exemplo.com,1
33,22,22766.0,cliente33@exemplo.com,1
35,21,36959.0,cliente35@exemplo.com,1
36,19,27299.0,cliente36@exemplo.com,1
37,22,35137.0,cliente37@exemplo.com,1
43,22,31496.0,cliente43@exemplo.com,1
68,21,38366.0,cliente68@exemplo.com,1
70,23,31972.0,cliente70@exemplo.com,1
71,18,23681.0,cliente71@exemplo.com,1
76,19,33678.0,cliente76@exemplo.com,1
97,18,30056.0,cliente97@exemplo.com,1
110,21,29764.0,cliente110@exemplo.com,1
115,23,39038.0,cliente115@exemplo.com,1
117,27,38632.0,cliente117@exemplo.com,1
122,26,29008.0,cliente122@exemplo.com,1
123,23,27809.0,cliente123@exemplo.com,1
137,19,22515.0,cliente137@exemplo.com,1
145,26,28575.0,cliente145@exemplo.com,1
148,26,36154.0,cliente148@exemplo.com,1
151,31,41485.0,cliente151@exemplo.com,1
160,21,29429.0,cliente160@exemplo.com,1
166,23,21306.0,cliente166@exemplo.com,1
167,28,26817.0,cliente167@exemplo.com,1
182,21,29552.0,cliente182@exemplo.com,1
185,29,28249.0,cliente185@exemplo.com,1
187,18,29219.0,cliente187@exemplo.com,1
188,20,21775.0,cliente188@exemplo.com,1
190,28,20196.0,cliente190@exemplo.com,1
191,27,24367.0,cliente191@exemplo.com,1
194,24,29469.0,cliente194@exemplo.com,1
196,19,23970.0,cliente196@exemplo.com,1
198,25,22072.0,cliente198@exemplo.com,1
203,24,24887.0,cliente203@exemplo.com,1
206,25,34698.0,cliente206@exemplo.com,1
210,28,33728.0,cliente210@exemplo.com,1
216,24,21972.0,cliente216@exemplo.com,1
227,28,31856.0,cliente227@exemplo.com,1
231,22,20730.0,cliente231@exemplo.com,1
245,21,22645.0,cliente245@exemplo.com,1
248,29,30370.0,cliente248@exemplo.com,1
251,29,23168.0,cliente251@exemplo.com,1
257,21,30660.0,cliente257@exemplo.com,1
263,29,30517.0,cliente263@exemplo.com,1
270,26,26014.0,cliente270@exemplo.com,1
282,26,25696.0,cliente282@exemplo.com,1
287,28,34520.0,cliente287@exemplo.com,1
288,23,38394.0,cliente288@exemplo.com,1
302,20,26677.0,cliente302@exemplo.com,1
312,24,38898.0,cliente312@exemplo.com,1
314,19,23689.0,cliente314@exemplo.com,1
316,25,37061.0,cliente316@exemplo.com,1
318,28,39613.0,cliente318@exemplo.com,1
340,21,29038.0,cliente340@exemplo.com,1
344,28,25601.0,cliente344@exemplo.com,1
348,24,35436.0,cliente348@exemplo.com,1
354,28,25539.0,cliente354@exemplo.com,1
361,18,35963.0,cliente361@exemplo.com,1
364,26,37976.0,cliente364@exemplo.com,1
369,18,23266.0,cliente369@exemplo.com,1
373,22,37732.0,cliente373@exemplo.com,1
378,18,28807.0,cliente378@exemplo.com,1
382,22,20371.0,cliente382@exemplo.com,1
383,19,22915.0,cliente383@exemplo.com,1
384,25,37893.0,cliente384@exemplo.com,1
391,27,31045.0,cliente391@exemplo.com,1
396,27,30345.0,cliente396@exemplo.com,1
406,25,31261.0,cliente406@exemplo.com,1
407,18,31942.0,cliente407@exemplo.com,1
411,18,33266.0,cliente411@exemplo.com,1
412,29,25611.0,cliente412@exemplo.com,1
