clienteid,idade,renda_anual,email,Cluster
1,39,56959.0,cliente1@exemplo.com,2
2,39,50349.0,cliente2@exemplo.com,2
4,49,63959.0,cliente4@exemplo.com,2
5,34,54072.0,cliente5@exemplo.com,2
6,38,49365.0,cliente6@exemplo.com,2
8,55,62371.0,cliente8@exemplo.com,2
11,46,68738.0,cliente11@exemplo.com,2
17,35,51872.0,cliente17@exemplo.com,2
19,30,46077.0,cliente19@exemplo.com,2
29,40,67787.0,cliente29@exemplo.com,2
40,37,57150.0,cliente40@exemplo.com,2
42,37,68336.0,cliente42@exemplo.com,2
44,54,60879.0,cliente44@exemplo.com,2
45,30,67383.0,cliente45@exemplo.com,2
47,46,48924.0,cliente47@exemplo.com,2
49,34,49005.0,cliente49@exemplo.com,2
50,45,59701.0,cliente50@exemplo.com,2
51,49,43767.0,cliente51@exemplo.com,2
52,30,47067.0,cliente52@exemplo.com,2
55,40,43451.0,cliente55@exemplo.com,2
58,41,57235.0,cliente58@exemplo.com,2
59,35,61906.0,cliente59@exemplo.com,2
62,44,61321.0,cliente62@exemplo.com,2
63,32,47227.0,cliente63@exemplo.com,2
64,41,44131.0,cliente64@exemplo.com,2
69,42,60215.0,cliente69@exemplo.com,2
73,45,61220.0,cliente73@exemplo.com,2
75,49,55819.0,cliente75@exemplo.com,2
77,40,53350.0,cliente77@exemplo.com,2
79,39,49435.0,cliente79@exemplo.com,2
82,41,45207.0,cliente82@exemplo.com,2
83,48,59093.0,cliente83@exemplo.com,2
84,42,67516.0,cliente84@exemplo.com,2
88,48,56678.0,cliente88@exemplo.com,2
89,45,63158.0,cliente89@exemplo.com,2
91,30,59675.0,cliente91@exemplo.com,2
92,48,52904.0,cliente92@exemplo.com,2
96,35,68431.0,cliente96@exemplo.com,2
102,34,67019.0,cliente102@exemplo.com,2
103,36,44536.0,cliente103@exemplo.com,2
112,40,56541.0,cliente112@exemplo.com,2
116,34,48610.0,cliente116@exemplo.com,2
118,41,64107.0,cliente118@exemplo.com,2
126,47,53366.0,cliente126@exemplo.com,2
128,42,49786.0,cliente128@exemplo.com,2
